"","Fertility","Examination","Education","Infant.Mortality","CathLevel","AgLevel"
"Courtelary",80.2,15,12,22.2,"low","low"
"Delemont",83.1,6,9,22.2,"high","low"
"Franches-Mnt",92.5,5,5,20.2,"high","low"
"Moutier",85.8,12,7,20.3,"medium","low"
"Neuveville",76.9,17,15,20.6,"low","low"
"Porrentruy",76.1,9,7,26.6,"high","low"
"Broye",83.8,16,7,23.6,"high","high"
"Glane",92.4,14,8,24.9,"high","high"
"Gruyere",82.4,12,7,21,"high","high"
"Sarine",82.9,16,13,24.4,"high","low"
"Veveyse",87.1,14,6,24.5,"high","high"
"Aigle",64.1,21,12,16.5,"low","high"
"Aubonne",66.9,14,7,19.1,"low","high"
"Avenches",68.9,19,12,22.7,"low","high"
"Cossonay",61.7,22,5,18.7,"low","high"
"Echallens",68.3,18,2,21.2,"low","high"
"Grandson",71.7,17,8,20,"low","low"
"Lausanne",55.7,26,28,20.2,"low","low"
"La Vallee",54.3,31,20,10.8,"low","low"
"Lavaux",65.1,19,9,20,"low","high"
"Morges",65.5,22,10,18,"low","high"
"Moudon",65,14,3,22.4,"low","high"
"Nyone",56.6,22,12,16.7,"low","high"
"Orbe",57.4,20,6,15.3,"low","high"
"Oron",72.5,12,1,21,"low","high"
"Payerne",74.2,14,8,23.8,"low","high"
"Paysd'enhaut",72,6,3,18,"low","high"
"Rolle",60.5,16,10,16.3,"low","high"
"Vevey",58.3,25,19,20.9,"low","low"
"Yverdon",65.4,15,8,22.5,"low","low"
"Conthey",75.5,3,2,15.1,"high","high"
"Entremont",69.3,7,6,19.8,"high","high"
"Herens",77.3,5,2,18.3,"high","high"
"Martigwy",70.5,12,6,19.4,"high","high"
"Monthey",79.4,7,3,20.2,"high","high"
"St Maurice",65,9,9,17.8,"high","high"
"Sierre",92.2,3,3,16.3,"high","high"
"Sion",79.3,13,13,18.1,"high","high"
"Boudry",70.4,26,12,20.3,"low","low"
"La Chauxdfnd",65.7,29,11,20.5,"low","low"
"Le Locle",72.7,22,13,18.9,"low","low"
"Neuchatel",64.4,35,32,23,"low","low"
"Val de Ruz",77.6,15,7,20,"low","low"
"ValdeTravers",67.6,25,7,19.5,"low","low"
"V. De Geneve",35,37,53,18,"medium","low"
"Rive Droite",44.7,16,29,18.2,"medium","low"
"Rive Gauche",42.8,22,29,19.3,"medium","low"
